Name,Gender,Age,Height(cm),Weight(kg),Lifestyle,Exercise,Daily Calories Intake,Target,"How motivated are you for being healthy
(in %)",Body Mass Index (BMI),Basal Metabolic Rate (BMR),Type,Body Fat Percentage (BFP),Body Type,"Daily Calorie Need (Based on BMR and Exercise)
(in Calorie)","Total Daily Energy Expenditure (TDEE) (Based on BMR and Lifestyle)
(in Calorie)",Suggestion
A5161,Female,22,164,72,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),3111,Loose Weight,95,26.77,1544.06,Adult Female,31.7837,Overweight,2393,2362,KETOGENIC DIET (5:35:60)
A5162,Female,22,164,76,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2238,Maintain Weight,73,28.26,1582.32,Adult Female,33.5684,Overweight,2729,2421,BALANCE DIET (55:25:20)
A5163,Female,22,164,80,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3355,Gain Muscle,86,29.74,1620.57,Adult Female,35.3530,Overweight,2795,2479,ZONE DIET (40:30:30)
A5164,Female,22,164,84,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),1954,Loose Weight,79,31.23,1658.82,Adult Female,37.1377,Obese,1991,2538,LOW CARB DIET (25:35:40)
A5165,Female,22,164,88,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2882,Maintain Weight,69,32.72,1697.07,Adult Female,38.9223,Obese,2333,2597,LOW CARB DIET (25:35:40)
A5166,Female,22,164,92,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2501,Gain Muscle,71,34.21,1735.32,Adult Female,40.7070,Obese,2690,2655,ZONE DIET (40:30:30)
A5167,Female,22,170,40,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),1788,Loose Weight,87,13.84,1249.15,Adult Female,16.2690,Underweight,2155,1911,BALANCE DIET (55:25:20)
A5168,Female,22,170,44,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2108,Maintain Weight,75,15.22,1287.40,Adult Female,17.9299,Underweight,1545,1970,BALANCE DIET (55:25:20)
A5169,Female,22,170,48,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1805,Gain Muscle,62,16.61,1325.65,Adult Female,19.5908,Underweight,1823,2028,ZONE DIET (40:30:30)
A5170,Female,22,170,52,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1712,Loose Weight,74,17.99,1363.90,Adult Female,21.2517,Underweight,2114,2087,BALANCE DIET (55:25:20)
A5171,Female,22,170,56,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3023,Maintain Weight,94,19.38,1402.16,Adult Female,22.9126,Normal,2419,2145,BALANCE DIET (55:25:20)
A5172,Female,22,170,60,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),1697,Gain Muscle,82,20.76,1440.41,Adult Female,24.5735,Normal,1728,2204,HIGH CARB DIET(60:20:20)
A5173,Female,22,170,64,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1946,Loose Weight,76,22.15,1478.66,Adult Female,26.2344,Normal,2033,2262,LOW CARB DIET (25:35:40)
A5174,Female,22,170,68,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2963,Maintain Weight,85,23.53,1516.91,Adult Female,27.8953,Normal,2351,2321,BALANCE DIET (55:25:20)
A5175,Female,22,170,72,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2522,Gain Muscle,71,24.91,1555.16,Adult Female,29.5562,Overweight,2683,2379,ZONE DIET (40:30:30)
A5176,Female,22,170,76,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),1755,Loose Weight,67,26.30,1593.42,Adult Female,31.2171,Overweight,1912,2438,LOW CARB DIET (25:35:40)
A5177,Female,22,170,80,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2297,Maintain Weight,71,27.68,1631.67,Adult Female,32.8780,Overweight,2244,2496,BALANCE DIET (55:25:20)
A5178,Female,22,170,84,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),3339,Gain Muscle,88,29.07,1669.92,Adult Female,34.5389,Overweight,2588,2555,ZONE DIET (40:30:30)
A5179,Female,22,170,88,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3094,Loose Weight,72,30.45,1708.17,Adult Female,36.1998,Obese,2947,2614,LOW CARB DIET (25:35:40)
A5180,Female,22,170,92,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3073,Maintain Weight,62,31.83,1746.42,Adult Female,37.8607,Obese,2096,2672,LOW CARB DIET (25:35:40)
A5181,Female,22,176,40,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1716,Gain Muscle,73,12.91,1260.25,Adult Female,15.1559,Underweight,1733,1928,ZONE DIET (40:30:30)
A5182,Female,22,176,44,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1590,Loose Weight,60,14.20,1298.50,Adult Female,16.7055,Underweight,2013,1987,BALANCE DIET (55:25:20)
A5183,Female,22,176,48,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2536,Maintain Weight,92,15.50,1336.75,Adult Female,18.2550,Underweight,2306,2045,BALANCE DIET (55:25:20)
A5184,Female,22,176,52,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2314,Gain Muscle,61,16.79,1375.00,Adult Female,19.8046,Underweight,1650,2104,ZONE DIET (40:30:30)
A5185,Female,22,176,56,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2400,Loose Weight,91,18.08,1413.26,Adult Female,21.3542,Underweight,1943,2162,BALANCE DIET (55:25:20)
A5186,Female,22,176,60,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2047,Maintain Weight,81,19.37,1451.51,Adult Female,22.9038,Normal,2250,2221,BALANCE DIET (55:25:20)
A5187,Female,22,176,64,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2724,Gain Muscle,91,20.66,1489.76,Adult Female,24.4534,Normal,2570,2279,HIGH CARB DIET(60:20:20)
A5188,Female,22,176,68,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2992,Loose Weight,94,21.95,1528.01,Adult Female,26.0030,Normal,1834,2338,LOW CARB DIET (25:35:40)
A5189,Female,22,176,72,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2037,Maintain Weight,92,23.24,1566.26,Adult Female,27.5526,Normal,2154,2396,BALANCE DIET (55:25:20)
A5190,Female,22,176,76,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2661,Gain Muscle,90,24.54,1604.52,Adult Female,29.1021,Normal,2487,2455,HIGH CARB DIET(60:20:20)
A5191,Female,22,176,80,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2097,Loose Weight,64,25.83,1642.77,Adult Female,30.6517,Overweight,2834,2513,LOW CARB DIET (25:35:40)
A5192,Female,22,176,84,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3164,Maintain Weight,66,27.12,1681.02,Adult Female,32.2013,Overweight,2017,2572,BALANCE DIET (55:25:20)
A5193,Female,22,176,88,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2946,Gain Muscle,74,28.41,1719.27,Adult Female,33.7509,Overweight,2364,2630,ZONE DIET (40:30:30)
A5194,Female,22,176,92,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),3269,Loose Weight,69,29.70,1757.52,Adult Female,35.3005,Overweight,2724,2689,LOW CARB DIET (25:35:40)
A5195,Female,22,182,40,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2215,Maintain Weight,64,12.08,1271.35,Adult Female,14.1510,Underweight,2193,1945,BALANCE DIET (55:25:20)
A5196,Female,22,182,44,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),1843,Gain Muscle,90,13.28,1309.60,Adult Female,15.6001,Underweight,1572,2004,HIGH CARB DIET(60:20:20)
A5197,Female,22,182,48,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2598,Loose Weight,73,14.49,1347.85,Adult Female,17.0492,Underweight,1853,2062,BALANCE DIET (55:25:20)
A5198,Female,22,182,52,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1547,Maintain Weight,90,15.70,1386.10,Adult Female,18.4983,Underweight,2148,2121,BALANCE DIET (55:25:20)
A5199,Female,22,182,56,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2555,Gain Muscle,70,16.91,1424.36,Adult Female,19.9474,Underweight,2457,2179,ZONE DIET (40:30:30)
A5200,Female,22,182,60,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2462,Loose Weight,82,18.11,1462.61,Adult Female,21.3965,Underweight,1755,2238,BALANCE DIET (55:25:20)
A5201,Female,22,182,64,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1860,Maintain Weight,82,19.32,1500.86,Adult Female,22.8456,Normal,2064,2296,BALANCE DIET (55:25:20)
A5202,Female,22,182,68,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1789,Gain Muscle,76,20.53,1539.11,Adult Female,24.2947,Normal,2386,2355,ZONE DIET (40:30:30)
A5203,Female,22,182,72,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2966,Loose Weight,86,21.74,1577.36,Adult Female,25.7438,Normal,2721,2413,LOW CARB DIET (25:35:40)
A5204,Female,22,182,76,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2151,Maintain Weight,86,22.94,1615.62,Adult Female,27.1929,Normal,1939,2472,BALANCE DIET (55:25:20)
A5205,Female,22,182,80,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2126,Gain Muscle,69,24.15,1653.87,Adult Female,28.6420,Normal,2274,2530,ZONE DIET (40:30:30)
A5206,Female,22,182,84,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2806,Loose Weight,72,25.36,1692.12,Adult Female,30.0911,Overweight,2623,2589,LOW CARB DIET (25:35:40)
A5207,Female,22,182,88,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3224,Maintain Weight,92,26.57,1730.37,Adult Female,31.5402,Overweight,2985,2647,ZONE DIET (40:30:30)
A5208,Female,22,182,92,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2380,Gain Muscle,89,27.77,1768.62,Adult Female,32.9893,Overweight,3051,2706,BALANCE DIET (55:25:20)
A5209,Female,25,152,40,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2317,Loose Weight,70,17.31,1201.82,Adult Female,21.1256,Underweight,1442,1839,BALANCE DIET (55:25:20)
A5210,Female,25,152,44,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2334,Maintain Weight,88,19.04,1240.07,Adult Female,23.2032,Normal,1705,1897,BALANCE DIET (55:25:20)
A5211,Female,25,152,48,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1823,Gain Muscle,95,20.78,1278.32,Adult Female,25.2807,Normal,1981,1956,HIGH CARB DIET(60:20:20)
A5212,Female,25,152,52,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2135,Loose Weight,65,22.51,1316.58,Adult Female,27.3583,Normal,2271,2014,LOW CARB DIET (25:35:40)
A5213,Female,25,152,56,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),1741,Maintain Weight,83,24.24,1354.83,Adult Female,29.4359,Normal,1626,2073,BALANCE DIET (55:25:20)
A5214,Female,25,152,60,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1876,Gain Muscle,85,25.97,1393.08,Adult Female,31.5134,Overweight,1915,2131,BALANCE DIET (55:25:20)
A5215,Female,25,152,64,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2396,Loose Weight,87,27.70,1431.33,Adult Female,33.5910,Overweight,2219,2190,KETOGENIC DIET (5:35:60)
A5216,Female,25,152,68,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2636,Maintain Weight,79,29.43,1469.58,Adult Female,35.6686,Overweight,2535,2248,BALANCE DIET (55:25:20)
A5217,Female,25,152,72,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2953,Gain Muscle,81,31.16,1507.84,Adult Female,37.7461,Obese,1809,2307,ZONE DIET (40:30:30)
A5218,Female,25,152,76,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1821,Loose Weight,76,32.89,1546.09,Adult Female,39.8237,Obese,2126,2366,LOW CARB DIET (25:35:40)
A5219,Female,25,152,80,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),3168,Maintain Weight,60,34.63,1584.34,Adult Female,41.9012,Obese,2456,2424,LOW CARB DIET (25:35:40)
A5220,Female,25,152,84,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2407,Gain Muscle,84,36.36,1622.59,Adult Female,43.9788,Obese,2799,2483,HIGH CARB DIET(60:20:20)
A5221,Female,25,152,88,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2998,Loose Weight,75,38.09,1660.84,Adult Female,46.0564,Obese,1993,2541,LOW CARB DIET (25:35:40)
A5222,Female,25,152,92,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1976,Maintain Weight,76,39.82,1699.10,Adult Female,48.1339,Obese,2336,2600,BALANCE DIET (55:25:20)
A5223,Female,25,158,40,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1448,Gain Muscle,73,16.02,1212.92,Adult Female,19.5777,Underweight,1880,1856,ZONE DIET (40:30:30)
A5224,Female,25,158,44,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2245,Loose Weight,67,17.63,1251.17,Adult Female,21.5005,Underweight,2158,1914,BALANCE DIET (55:25:20)
A5225,Female,25,158,48,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2367,Maintain Weight,70,19.23,1289.42,Adult Female,23.4232,Normal,1547,1973,BALANCE DIET (55:25:20)
A5226,Female,25,158,52,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2356,Gain Muscle,74,20.83,1327.68,Adult Female,25.3460,Normal,1826,2031,ZONE DIET (40:30:30)
A5227,Female,25,158,56,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2752,Loose Weight,80,22.43,1365.93,Adult Female,27.2688,Normal,2117,2090,LOW CARB DIET (25:35:40)
A5228,Female,25,158,60,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2713,Maintain Weight,71,24.03,1404.18,Adult Female,29.1915,Normal,2422,2148,BALANCE DIET (55:25:20)
A5229,Female,25,158,64,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2273,Gain Muscle,65,25.64,1442.43,Adult Female,31.1143,Overweight,1731,2207,ZONE DIET (40:30:30)
A5230,Female,25,158,68,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2854,Loose Weight,65,27.24,1480.68,Adult Female,33.0371,Overweight,2036,2265,LOW CARB DIET (25:35:40)
A5231,Female,25,158,72,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2990,Maintain Weight,86,28.84,1518.94,Adult Female,34.9598,Overweight,2354,2324,ZONE DIET (40:30:30)
A5232,Female,25,158,76,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2767,Gain Muscle,65,30.44,1557.19,Adult Female,36.8826,Obese,2686,2382,ZONE DIET (40:30:30)
A5233,Female,25,158,80,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),3051,Loose Weight,83,32.05,1595.44,Adult Female,38.8054,Obese,1915,2441,KETOGENIC DIET (5:35:60)
A5234,Female,25,158,84,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2425,Maintain Weight,67,33.65,1633.69,Adult Female,40.7281,Obese,2246,2500,BALANCE DIET (55:25:20)
A5235,Female,25,158,88,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1892,Gain Muscle,88,35.25,1671.94,Adult Female,42.6509,Obese,2592,2558,HIGH CARB DIET(60:20:20)
A5236,Female,25,158,92,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3393,Loose Weight,60,36.85,1710.20,Adult Female,44.5737,Obese,2950,2617,LOW CARB DIET (25:35:40)
A5237,Female,25,164,40,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),1760,Maintain Weight,77,14.87,1224.02,Adult Female,18.1965,Underweight,1469,1873,BALANCE DIET (55:25:20)
A5238,Female,25,164,44,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2124,Gain Muscle,91,16.36,1262.27,Adult Female,19.9812,Underweight,1736,1931,HIGH CARB DIET(60:20:20)
A5239,Female,25,164,48,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2338,Loose Weight,88,17.85,1300.52,Adult Female,21.7658,Underweight,2016,1990,BALANCE DIET (55:25:20)
A5240,Female,25,164,52,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2356,Maintain Weight,69,19.33,1338.78,Adult Female,23.5505,Normal,2309,2048,BALANCE DIET (55:25:20)
A5241,Female,25,164,56,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2086,Gain Muscle,91,20.82,1377.03,Adult Female,25.3351,Normal,1652,2107,HIGH CARB DIET(60:20:20)
A5242,Female,25,164,60,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2295,Loose Weight,60,22.31,1415.28,Adult Female,27.1198,Normal,1946,2165,LOW CARB DIET (25:35:40)
A5243,Female,25,164,64,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2343,Maintain Weight,80,23.80,1453.53,Adult Female,28.9044,Normal,2253,2224,BALANCE DIET (55:25:20)
A5244,Female,25,164,68,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3217,Gain Muscle,94,25.28,1491.78,Adult Female,30.6891,Overweight,2573,2282,ZONE DIET (40:30:30)
A5245,Female,25,164,72,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2645,Loose Weight,94,26.77,1530.04,Adult Female,32.4737,Overweight,1836,2341,KETOGENIC DIET (5:35:60)
A5246,Female,25,164,76,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2879,Maintain Weight,77,28.26,1568.29,Adult Female,34.2584,Overweight,2156,2399,BALANCE DIET (55:25:20)
A5247,Female,25,164,80,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2092,Gain Muscle,79,29.74,1606.54,Adult Female,36.0430,Overweight,2490,2458,BALANCE DIET (55:25:20)
A5248,Female,25,164,84,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3036,Loose Weight,81,31.23,1644.79,Adult Female,37.8277,Obese,2837,2517,KETOGENIC DIET (5:35:60)
A5249,Female,25,164,88,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2910,Maintain Weight,72,32.72,1683.04,Adult Female,39.6123,Obese,2020,2575,LOW CARB DIET (25:35:40)
A5250,Female,25,164,92,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),3266,Gain Muscle,79,34.21,1721.30,Adult Female,41.3970,Obese,2367,2634,ZONE DIET (40:30:30)
A5251,Female,25,170,40,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2202,Loose Weight,95,13.84,1235.12,Adult Female,16.9590,Underweight,1914,1890,BALANCE DIET (55:25:20)
A5252,Female,25,170,44,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2219,Maintain Weight,68,15.22,1273.37,Adult Female,18.6199,Underweight,2197,1948,BALANCE DIET (55:25:20)
A5253,Female,25,170,48,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2330,Gain Muscle,82,16.61,1311.62,Adult Female,20.2808,Underweight,2263,2007,HIGH CARB DIET(60:20:20)
A5254,Female,25,170,52,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2272,Loose Weight,82,17.99,1349.88,Adult Female,21.9417,Underweight,1620,2065,BALANCE DIET (55:25:20)
A5255,Female,25,170,56,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2018,Maintain Weight,63,19.38,1388.13,Adult Female,23.6026,Normal,1909,2124,BALANCE DIET (55:25:20)
A5256,Female,25,170,60,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),1990,Gain Muscle,78,20.76,1426.38,Adult Female,25.2635,Normal,2211,2182,ZONE DIET (40:30:30)
A5257,Female,25,170,64,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2299,Loose Weight,64,22.15,1464.63,Adult Female,26.9244,Normal,2526,2241,LOW CARB DIET (25:35:40)
A5258,Female,25,170,68,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2023,Maintain Weight,81,23.53,1502.88,Adult Female,28.5853,Normal,1803,2299,BALANCE DIET (55:25:20)
A5259,Female,25,170,72,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2617,Gain Muscle,83,24.91,1541.14,Adult Female,30.2462,Overweight,2119,2358,ZONE DIET (40:30:30)
A5260,Female,25,170,76,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2987,Loose Weight,89,26.30,1579.39,Adult Female,31.9071,Overweight,2448,2416,KETOGENIC DIET (5:35:60)
A5261,Female,25,170,80,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),3153,Maintain Weight,83,27.68,1617.64,Adult Female,33.5680,Overweight,2790,2475,ZONE DIET (40:30:30)
A5262,Female,25,170,84,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2762,Gain Muscle,75,29.07,1655.89,Adult Female,35.2289,Overweight,1987,2534,ZONE DIET (40:30:30)
A5263,Female,25,170,88,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),2255,Loose Weight,91,30.45,1694.14,Adult Female,36.8898,Obese,2329,2592,KETOGENIC DIET (5:35:60)
A5264,Female,25,170,92,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),3142,Maintain Weight,78,31.83,1732.40,Adult Female,38.5507,Obese,2685,2651,LOW CARB DIET (25:35:40)
A5265,Female,25,176,40,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),1763,Gain Muscle,88,12.91,1246.22,Adult Female,15.8459,Underweight,2150,1907,HIGH CARB DIET(60:20:20)
A5266,Female,25,176,44,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),1592,Loose Weight,60,14.20,1284.47,Adult Female,17.3955,Underweight,1541,1965,BALANCE DIET (55:25:20)
A5267,Female,25,176,48,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),2. Lightly active (light exercise/sports 1-3 days/ week),1518,Maintain Weight,85,15.50,1322.72,Adult Female,18.9450,Underweight,1819,2024,BALANCE DIET (55:25:20)
A5268,Female,25,176,52,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),3. Moderately active (moderate exercise/sports 3-5days/week),2088,Gain Muscle,64,16.79,1360.98,Adult Female,20.4946,Underweight,2110,2082,ZONE DIET (40:30:30)
A5269,Female,25,176,56,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),4. Very active (hard exercise/sports 6-7 days a week),2438,Loose Weight,65,18.08,1399.23,Adult Female,22.0442,Underweight,2414,2141,BALANCE DIET (55:25:20)
A5270,Female,25,176,60,1. Sedentary or light activity (e.g. - Office worker getting little or no exercise),1. Sedentary (little or no exercise),2023,Maintain Weight,72,19.37,1437.48,Adult Female,23.5938,Normal,1725,2199,BALANCE DIET (55:25:20)
